application_id,customer_segment,loan_type,loan_amount,application_status,documents_requested,documents_received,review_status,decision_status,funded_status,drop_off_stage,days_to_docs,days_to_review,days_to_decision,total_processing_days,application_channel,credit_band
APP001,Returning,Personal Loan,9000,Submitted,Yes,Yes,Completed,Approved,Funded,None,6,5,1,12,Online,Prime
APP002,New,Personal Loan,17400,Submitted,Yes,Yes,Completed,Approved,Funded,None,8,3,1,12,Online,Prime
APP003,Existing Customer,Personal Loan,12800,Submitted,Yes,Yes,Completed,Approved,Not Funded,Post-Approval,2,3,2,7,Online,Prime
APP004,Returning,Small Business Loan,39000,Submitted,Yes,Yes,Pending,Pending,N/A,Underwriting Review,7,9,0,16,Online,Prime
APP005,New,Personal Loan,9400,Submitted,Yes,Yes,Completed,Approved,Funded,None,10,3,1,14,Phone,Subprime
APP006,New,Personal Loan,8800,Submitted,Yes,No,Not Started,Withdrawn,N/A,Document Collection,9,0,0,9,Branch,Subprime
APP007,New,Auto Loan,20000,Submitted,Yes,Yes,Completed,Denied,N/A,None,6,2,1,9,Online,Near Prime
APP008,Existing Customer,Small Business Loan,40000,Submitted,Yes,Yes,Completed,Approved,Funded,None,6,8,4,18,Online,Prime
APP009,New,Auto Loan,44000,Submitted,Yes,Yes,Completed,Approved,Funded,None,6,2,1,9,Online,Near Prime
APP010,Existing Customer,Personal Loan,6000,Submitted,No,Not Needed,Completed,Approved,Funded,None,0,3,1,4,Branch,Prime
APP011,Returning,Auto Loan,27000,Submitted,Yes,Yes,Completed,Approved,Not Funded,Post-Approval,4,5,2,11,Branch,Prime
APP012,Existing Customer,Auto Loan,22500,Submitted,Yes,Yes,Completed,Approved,Not Funded,Post-Approval,3,2,2,7,Online,Near Prime
APP013,Existing Customer,Small Business Loan,34000,Submitted,Yes,No,Not Started,Withdrawn,N/A,Document Collection,4,0,0,4,Online,Prime
APP014,Existing Customer,Auto Loan,18000,Submitted,Yes,Yes,Completed,Denied,N/A,None,3,2,2,7,Online,Prime
APP015,Existing Customer,Auto Loan,38000,Submitted,Yes,No,Not Started,Withdrawn,N/A,Document Collection,0,0,0,0,Phone,Prime
APP016,Returning,Personal Loan,18100,Submitted,Yes,No,Not Started,Withdrawn,N/A,Document Collection,4,0,0,4,Online,Prime
APP017,New,Personal Loan,19100,Submitted,Yes,Yes,Pending,Withdrawn,N/A,Underwriting Review,8,0,0,8,Online,Near Prime
APP018,Returning,Auto Loan,36000,Submitted,Yes,Yes,Completed,Approved,Funded,None,2,4,3,9,Online,Prime
APP019,New,Small Business Loan,30000,Submitted,Yes,No,Not Started,Withdrawn,N/A,Document Collection,7,0,0,7,Online,Near Prime
APP020,Returning,Small Business Loan,19000,Submitted,Yes,Yes,Completed,Approved,Funded,None,3,7,5,15,Online,Subprime
